;Model;Max resolution
0;STRING;DOUBLE
1;Agfa ePhoto 1280;1024.0
2;Agfa ePhoto 1680;1280.0
3;Agfa ePhoto CL18;640.0
4;Agfa ePhoto CL30;1152.0
5;Agfa ePhoto CL30 Clik!;1152.0
6;Agfa ePhoto CL45;1600.0
7;Agfa ePhoto CL50;1280.0
8;Canon PowerShot 350;640.0
9;Canon PowerShot 600;832.0
10;Canon PowerShot A10;1280.0
11;Canon PowerShot A100;1280.0
12;Canon PowerShot A20;1600.0
13;Canon PowerShot A200;1600.0
14;Canon PowerShot A30;1280.0
15;Canon PowerShot A300;2048.0
16;Canon PowerShot A310;2048.0
17;Canon PowerShot A40;1600.0
18;Canon PowerShot A400;2048.0
19;Canon PowerShot A410;2048.0
20;Canon PowerShot A420;2272.0
21;Canon PowerShot A430;2272.0
22;Canon PowerShot A450;2592.0
23;Canon PowerShot A460;2592.0
24;Canon PowerShot A5;1024.0
25;Canon PowerShot A50;1280.0
26;Canon PowerShot A510;2048.0
27;Canon PowerShot A520;2272.0
28;Canon PowerShot A530;2592.0
29;Canon PowerShot A540;2816.0
30;Canon PowerShot A550;3072.0
31;Canon PowerShot A560;3072.0
32;Canon PowerShot A570 IS;3072.0
33;Canon PowerShot A5 Zoom;1024.0
34;Canon PowerShot A60;1600.0
35;Canon PowerShot A610;2592.0
36;Canon PowerShot A620;3072.0
37;Canon PowerShot A630;3264.0
38;Canon PowerShot A640;3648.0
39;Canon PowerShot A650 IS;4000.0
40;Canon PowerShot A70;2048.0
41;Canon PowerShot A700;2816.0
42;Canon PowerShot A710 IS;3072.0
43;Canon PowerShot A720 IS;3264.0
44;Canon PowerShot A75;2048.0
45;Canon PowerShot A80;2272.0
46;Canon PowerShot A85;2272.0
47;Canon PowerShot A95;2592.0
48;Canon EOS 10D;3072.0
49;Canon EOS-1D;2464.0
50;Canon EOS-1D Mark II;3504.0
51;Canon EOS-1D Mark III;3888.0
52;Canon EOS-1D Mark II N;3504.0
53;Canon EOS-1Ds;4064.0
54;Canon EOS-1Ds Mark II;4992.0
55;Canon EOS-1Ds Mark III;5616.0
56;Canon EOS 20D;3504.0
57;Canon EOS 20Da;3504.0
58;Canon EOS 300D / Digital Rebel;3072.0
59;Canon EOS 30D;3504.0
60;Canon EOS 350D / Digital Rebel XT;3456.0
61;Canon EOS 400D / Digital Rebel XTi;3888.0
62;Canon EOS 40D;3888.0
63;Canon EOS 5D;4368.0
64;Canon EOS D30;2160.0
65;Canon EOS D60;3072.0
66;Canon PowerShot G1;2048.0
67;Canon PowerShot G2;2272.0
68;Canon PowerShot G3;2272.0
69;Canon PowerShot G5;2592.0
70;Canon PowerShot G6;3072.0
71;Canon PowerShot G7;3648.0
72;Canon PowerShot G9;4000.0
73;Canon PowerShot Pro1;3264.0
74;Canon PowerShot Pro70;1536.0
75;Canon PowerShot Pro90 IS;1856.0
76;Canon PowerShot S10;1600.0
77;Canon PowerShot S100;1600.0
78;Canon PowerShot S110;1600.0
79;Canon PowerShot S1 IS;2048.0
80;Canon PowerShot S20;2048.0
81;Canon PowerShot S200;1600.0
82;Canon PowerShot S230;2048.0
83;Canon PowerShot S2 IS;2592.0
84;Canon PowerShot S30;2048.0
85;Canon PowerShot S300;1600.0
86;Canon PowerShot S330;1600.0
87;Canon PowerShot S3 IS;2816.0
88;Canon PowerShot S40;2272.0
89;Canon PowerShot S400;2272.0
90;Canon PowerShot S410;2272.0
91;Canon PowerShot S45;2272.0
92;Canon PowerShot S50;2592.0
93;Canon PowerShot S500;2592.0
94;Canon PowerShot S5 IS;3264.0
95;Canon PowerShot S60;2592.0
96;Canon PowerShot S70;3072.0
97;Canon PowerShot S80;3264.0
98;Canon PowerShot SD10;2272.0
99;Canon PowerShot SD100;2048.0
100;Canon PowerShot SD1000;3072.0
101;Canon PowerShot SD110;2048.0
102;Canon PowerShot SD20;2592.0
103;Canon PowerShot SD200;2048.0
104;Canon PowerShot SD30;2592.0
105;Canon PowerShot SD300;2272.0
106;Canon PowerShot SD40;3072.0
107;Canon PowerShot SD400;2592.0
108;Canon PowerShot SD430 Wireless;2592.0
109;Canon PowerShot SD450;2592.0
110;Canon PowerShot SD500;3072.0
111;Canon PowerShot SD550;3072.0
112;Canon PowerShot SD600;2816.0
113;Canon PowerShot SD630;2816.0
114;Canon PowerShot SD700 IS;2816.0
115;Canon PowerShot SD750;3072.0
116;Canon PowerShot SD800 IS;3072.0
117;Canon PowerShot SD850 IS;3264.0
118;Canon PowerShot SD870 IS;3264.0
119;Canon PowerShot SD900;3648.0
120;Canon PowerShot SD950 IS;4000.0
121;Canon PowerShot SX100 IS;3264.0
122;Canon PowerShot TX1;3072.0
123;Casio Exilim EX-P505;2560.0
124;Casio Exilim EX-P600;2816.0
125;Casio Exilim EX-P700;3072.0
126;Casio Exilim EX-S100;2048.0
127;Casio Exilim EX-S20;1600.0
128;Casio Exilim EX-S3;2048.0
129;Casio Exilim EX-S500;2560.0
130;Casio Exilim EX-S600;2816.0
131;Casio Exilim EX-S600d;2816.0
132;Casio Exilim EX-S880;3264.0
133;Casio Exilim EX-V7;3072.0
134;Casio Exilim EX-V8;3264.0
135;Casio Exilim EX-Z10;2560.0
136;Casio Exilim EX-Z1000;3648.0
137;Casio Exilim EX-Z1050;3648.0
138;Casio Exilim EX-Z1080;3648.0
139;Casio Exilim EX-Z110;2816.0
140;Casio Exilim EX-Z120;3072.0
141;Casio Exilim EX-Z1200 SR;4000.0
142;Casio Exilim EX-Z3;2048.0
143;Casio Exilim EX-Z30;2048.0
144;Casio Exilim EX-Z4;2304.0
145;Casio Exilim EX-Z40;2304.0
146;Casio Exilim EX-Z5;2560.0
147;Casio Exilim EX-Z50;2560.0
148;Casio Exilim EX-Z500;2560.0
149;Casio Exilim EX-Z55;2560.0
150;Casio Exilim EX-Z57;2560.0
151;Casio Exilim EX-Z60;2816.0
152;Casio Exilim EX-Z70;3072.0
153;Casio Exilim EX-Z700;3072.0
154;Casio Exilim EX-Z75;3072.0
155;Casio Exilim EX-Z750;3072.0
156;Casio Exilim EX-Z77;3072.0
157;Casio Exilim EX-S770;3072.0
158;Casio Exilim EX-Z850;3264.0
159;Casio GV-10;1280.0
160;Casio GV-20;1600.0
161;Casio QV-2000UX;1600.0
162;Casio QV-2100;1600.0
163;Casio QV-2300UX;1600.0
164;Casio QV-2400UX;1600.0
165;Casio QV-2800UX;1600.0
166;Casio QV-2900UX;1600.0
167;Casio QV-3EX;2048.0
168;Casio QV-300;640.0
169;Casio QV-3000EX;2048.0
170;Casio QV-3500EX;2048.0
171;Casio QV-4000;2240.0
172;Casio QV-5000SX;1280.0
173;Casio QV-5500SX;1280.0
174;Casio QV-5700;2560.0
175;Casio QV-700;640.0
176;Casio QV-7000SX;1280.0
177;Casio QV-770;640.0
178;Casio QV-8000SX;1280.0
179;Casio QV-R3;2048.0
180;Casio QV-R4;2304.0
181;Casio QV-R40;2304.0
182;Casio QV-R41;2304.0
183;Casio QV-R51;2560.0
184;Casio QV-R61;2816.0
185;Casio QV-R62;2816.0
186;Contax N Digital;3040.0
187;Contax TVS Digital;2560.0
188;Epson PhotoPC 800;1600.0
189;Epson PhotoPC 850 Zoom;1600.0
190;Epson PhotoPC L-500V;2560.0
191;Epson PhotoPC 3000 Zoom;2048.0
192;Epson PhotoPC 3100 Zoom;2048.0
193;Epson PhotoPC 500;640.0
194;Epson PhotoPC 550;640.0
195;Epson PhotoPC 600;1024.0
196;Epson PhotoPC 650;1152.0
197;Epson PhotoPC 700;1280.0
198;Epson PhotoPC 750 Zoom;1280.0
199;Epson PhotoPC L-300;2048.0
200;Epson PhotoPC L-400;2304.0
201;Epson PhotoPC L-410;2304.0
202;Epson R-D1;3008.0
203;Fujifilm FinePix 40i;2400.0
204;Fujifilm FinePix 50i;2400.0
205;Fujifilm DS-260HD;1280.0
206;Fujifilm DS-300;1280.0
207;Fujifilm FinePix 1300;1280.0
208;Fujifilm FinePix 2300;1600.0
209;Fujifilm FinePix 2400 Zoom;1600.0
210;Fujifilm FinePix 2600 Zoom;1600.0
211;Fujifilm FinePix 2650;1600.0
212;Fujifilm FinePix 2800 Zoom;1600.0
213;Fujifilm Finepix 30i;1600.0
214;Fujifilm FinePix 3800;2048.0
215;Fujifilm FinePix 4800 Zoom;2400.0
216;Fujifilm FinePix 4900 Zoom;2400.0
217;Fujifilm FinePix 6800 Zoom;2832.0
218;Fujifilm FinePix 6900 Zoom;2832.0
219;Fujifilm FinePix A101;1280.0
220;Fujifilm FinePix A120;2016.0
221;Fujifilm FinePix A200;1600.0
222;Fujifilm FinePix A201;1600.0
223;Fujifilm FinePix A203;1600.0
224;Fujifilm FinePix A205 Zoom;1600.0
225;Fujifilm FinePix A210 Zoom;2048.0
226;Fujifilm FinePix A303;2048.0
227;Fujifilm FinePix A310 Zoom;2816.0
228;Fujifilm FinePix A330;2016.0
229;Fujifilm FinePix A340;2272.0
230;Fujifilm FinePix A345 Zoom;2304.0
231;Fujifilm FinePix A350 Zoom;2592.0
232;Fujifilm FinePix A400 Zoom;2303.0
233;Fujifilm FinePix A500 Zoom;2592.0
234;Fujifilm FinePix A600 Zoom;2848.0
235;Fujifilm FinePix A610;2848.0
236;Fujifilm FinePix A800;3296.0
237;Fujifilm FinePix A820;3296.0
238;Fujifilm FinePix A900;3488.0
239;Fujifilm FinePix A920;3488.0
240;Fujifilm FinePix E500 Zoom;2304.0
241;Fujifilm FinePix E510 Zoom;2592.0
242;Fujifilm FinePix E550 Zoom;4048.0
243;Fujifilm FinePix E900 Zoom;3488.0
244;Fujifilm FinePix F10 Zoom;2848.0
245;Fujifilm FinePix F11 Zoom;2848.0
246;Fujifilm FinePix F20 Zoom;2848.0
247;Fujifilm FinePix F30 Zoom;2848.0
248;Fujifilm FinePix F31 fd;2848.0
249;Fujifilm FinePix F401 Zoom;2304.0
250;Fujifilm FinePix F402;2304.0
251;Fujifilm FinePix F40 fd;3296.0
252;Fujifilm FinePix F410 Zoom;2816.0
253;Fujifilm FinePix F420 Zoom;2816.0
254;Fujifilm FinePix F440 Zoom;2304.0
255;Fujifilm FinePix F450 Zoom;2592.0
256;Fujifilm FinePix F455 Zoom;2592.0
257;Fujifilm FinePix F470 Zoom;2816.0
258;Fujifilm FinePix F480 Zoom;3264.0
259;Fujifilm FinePix F50 fd;4000.0
260;Fujifilm FinePix F601Z;2832.0
261;Fujifilm FinePix F610;4048.0
262;Fujifilm FinePix F650 Zoom;2816.0
263;Fujifilm FinePix F700;2832.0
264;Fujifilm FinePix F710;2832.0
265;Fujifilm FinePix F810 Zoom;4048.0
266;Fujifilm FinePix IS-1;3488.0
267;Fujifilm FinePix M603;2832.0
268;Fujifilm FinePix S20 Pro;2832.0
269;Fujifilm FinePix S3000 Z;2048.0
270;Fujifilm FinePix S3500 Zoom;2272.0
271;Fujifilm FinePix S5000 Z;2816.0
272;Fujifilm FinePix S5100 Zoom;2272.0
273;Fujifilm FinePix S5200 Zoom;2592.0
274;Fujifilm FinePix S5700 Zoom;3072.0
275;Fujifilm FinePix S6000 fd;2848.0
276;Fujifilm FinePix S602Z;2832.0
277;Fujifilm FinePix S602Z Pro;2832.0
278;Fujifilm FinePix S7000 Z;4048.0
279;Fujifilm FinePix S8000 fd;3264.0
280;Fujifilm FinePix S9000 Z;3488.0
281;Fujifilm FinePix S9100;3488.0
282;Fujifilm FinePix V10 Zoom;2592.0
283;Fujifilm FinePix Z1;2592.0
284;Fujifilm FinePix Z10  fd;3072.0
285;Fujifilm FinePix Z2;2592.0
286;Fujifilm FinePix Z3;2592.0
287;Fujifilm FinePix IS Pro;4256.0
288;Fujifilm MX-1200;1280.0
289;Fujifilm MX-1400;1280.0
290;Fujifilm MX-1500;1280.0
291;Fujifilm MX-1700;1280.0
292;Fujifilm MX-2700;1800.0
293;Fujifilm MX-2900 Zoom;1800.0
294;Fujifilm FinePix 4700 Zoom;2400.0
295;Fujifilm MX-500;1280.0
296;Fujifilm MX-600 Zoom;1280.0
297;Fujifilm MX-700;1280.0
298;Fujifilm FinePix S1 Pro;3040.0
299;Fujifilm FinePix S2 Pro;4256.0
300;Fujifilm FinePix S3 Pro;4256.0
301;Fujifilm FinePix S5 Pro;4256.0
302;HP Photosmart 320;1632.0
303;HP Photosmart 435;2048.0
304;HP Photosmart 620;1632.0
305;HP Photosmart 635;1636.0
306;HP Photosmart 715;2048.0
307;HP Photosmart 720;2048.0
308;HP Photosmart 735;2080.0
309;HP Photosmart 812;2272.0
310;HP Photosmart 850;2272.0
311;HP Photosmart 935;2608.0
312;HP Photosmart 945;2608.0
313;HP Photosmart C20;1152.0
314;HP Photosmart C200;1152.0
315;HP Photosmart C215;1280.0
316;HP Photosmart C30;1152.0
317;HP Photosmart C315;1600.0
318;HP Photosmart C500;1600.0
319;HP Photosmart C618;1600.0
320;HP Photosmart C912;1600.0
321;HP Photosmart E317;2560.0
322;HP Photosmart E327;2560.0
323;HP Photosmart E337;2576.0
324;HP Photosmart M22;2320.0
325;HP Photosmart M23;2320.0
326;HP Photosmart M307;2080.0
327;HP Photosmart M407;2320.0
328;HP Photosmart M417;2576.0
329;HP Photosmart M425;2576.0
330;HP Photosmart M437;2576.0
331;HP Photosmart M517;2576.0
332;HP Photosmart M525;2800.0
333;HP Photosmart M527;2800.0
334;HP Photosmart M537;2848.0
335;HP Photosmart Mz67;3264.0
336;HP Photosmart R507;2320.0
337;HP Photosmart R607;2320.0
338;HP Photosmart R707;2608.0
339;HP Photosmart R717;2864.0
340;HP Photosmart R725;2864.0
341;HP Photosmart R727;2864.0
342;HP Photosmart R742;3096.0
343;HP Photosmart R817;2592.0
344;HP Photosmart R818;2592.0
345;HP Photosmart R837;3112.0
346;HP Photosmart R927;3296.0
347;HP Photosmart R937;3298.0
348;JVC GC-QX3HD;2032.0
349;JVC GC-QX5HD;2032.0
350;Kodak C300;2096.0
351;Kodak C310;2336.0
352;Kodak C330;2336.0
353;Kodak C340;2576.0
354;Kodak C360;2690.0
355;Kodak C433;2304.0
356;Kodak C513;2572.0
357;Kodak C533;2576.0
358;Kodak C613;2848.0
359;Kodak C643;2848.0
360;Kodak C653;2848.0
361;Kodak C663;2832.0
362;Kodak C743;3072.0
363;Kodak C763;3072.0
364;Kodak C875;3264.0
365;Kodak CX4200;1632.0
366;Kodak CX4230;1632.0
367;Kodak CX4300;2080.0
368;Kodak CX6200;1632.0
369;Kodak CX6230;1632.0
370;Kodak CX6330;2032.0
371;Kodak CX7220;0.0
372;Kodak CX7300;2096.0
373;Kodak CX7330;2032.0
374;Kodak CX7430;2408.0
375;Kodak CX7530;2560.0
376;Kodak DC200;1152.0
377;Kodak DC200 plus;1152.0
378;Kodak DC210 plus;1152.0
379;Kodak DC215;1152.0
380;Kodak DC220;1152.0
381;Kodak DC240;1280.0
382;Kodak DC260;1536.0
383;Kodak DC265;1536.0
384;Kodak DC280;1760.0
385;Kodak DC290;1792.0
386;Kodak DC3200;1152.0
387;Kodak DC3400;1760.0
388;Kodak DC3800;1760.0
389;Kodak DC4800;2160.0
390;Kodak DC5000;1760.0
391;Kodak DCS 14n;4536.0
392;Kodak DCS315;1520.0
393;Kodak DCS330;2008.0
394;Kodak DCS420;1524.0
395;Kodak DCS460;3060.0
396;Kodak DCS520;1728.0
397;Kodak DCS560;3040.0
398;Kodak DCS620;1728.0
399;Kodak DCS620x;1728.0
400;Kodak DCS660;3040.0
401;Kodak DCS720x;1728.0
402;Kodak DCS760;3032.0
403;Kodak DCS SLR/c;4500.0
404;Kodak DCS SLR/n;4500.0
405;Kodak DX3215;1280.0
406;Kodak DX3500;1800.0
407;Kodak DX3600;1800.0
408;Kodak DX3700;2160.0
409;Kodak DX3900;2160.0
410;Kodak DX4330;2160.0
411;Kodak DX4530;2580.0
412;Kodak DX4900;2448.0
413;Kodak DX6340;2032.0
414;Kodak DX6440;2304.0
415;Kodak DX6490;2304.0
416;Kodak DX7440;2304.0
417;Kodak DX7590;2576.0
418;Kodak DX7630;2872.0
419;Kodak Easyshare One;2304.0
420;Kodak LS420;1752.0
421;Kodak LS443;2448.0
422;Kodak LS633;2041.0
423;Kodak LS743;2304.0
424;Kodak LS753;2569.0
425;Kodak LS755;2592.0
426;Kodak M753;3056.0
427;Kodak M853;3296.0
428;Kodak M873;3264.0
429;Kodak M883;3280.0
430;Kodak mc3;640.0
431;Kodak P712;3072.0
432;Kodak P850;2592.0
433;Kodak P880;3264.0
434;Kodak V1003;3648.0
435;Kodak V530;2569.0
436;Kodak V550;2569.0
437;Kodak V570;2569.0
438;Kodak V610;2832.0
439;Kodak V705;3072.0
440;Kodak V803;3264.0
441;Kodak Z1275;4000.0
442;Kodak Z612;2848.0
443;Kodak Z650;2848.0
444;Kodak Z700;2304.0
445;Kodak Z710;3072.0
446;Kodak Z712;3072.0
447;Kodak Z730;2576.0
448;Kodak Z740;2576.0
449;Kodak Z7590;2576.0
450;Kodak Z760;2872.0
451;Kodak Z885;3264.0
452;Kyocera Finecam 3300;2048.0
453;Kyocera Finecam L30;2048.0
454;Kyocera Finecam L3V;2048.0
455;Kyocera Finecam L4V;2304.0
456;Kyocera Finecam M400R;2272.0
457;Kyocera Finecam M410R;2272.0
458;Kyocera Finecam S3;2048.0
459;Kyocera Finecam S3L;2048.0
460;Kyocera Finecam S3R;2048.0
461;Kyocera Finecam S3x;2048.0
462;Kyocera Finecam S4;2272.0
463;Kyocera Finecam S5;2560.0
464;Kyocera Finecam S5R;2560.0
465;Kyocera Finecam SL300R;2048.0
466;Kyocera Finecam SL400R;2272.0
467;Leica C-LUX 1;2816.0
468;Leica Digilux;1280.0
469;Leica Digilux 1;2240.0
470;Leica Digilux 2;2560.0
471;Leica Digilux 3;3136.0
472;Leica Digilux 4.3;2400.0
473;Leica Digilux Zoom;1280.0
474;Leica D-LUX 2;3840.0
475;Leica D-LUX 3;4224.0
476;Leica M8;3936.0
477;Leica V-LUX 1;3648.0
478;Nikon Coolpix 100;512.0
479;Nikon Coolpix 2000;1632.0
480;Nikon Coolpix 2100;1600.0
481;Nikon Coolpix 2200;1600.0
482;Nikon Coolpix 2500;1600.0
483;Nikon Coolpix 300;640.0
484;Nikon Coolpix 3100;2048.0
485;Nikon Coolpix 3200;2048.0
486;Nikon Coolpix 3500;2048.0
487;Nikon Coolpix 3700;2048.0
488;Nikon Coolpix 4100;2288.0
489;Nikon Coolpix 4200;2272.0
490;Nikon Coolpix 4300;2272.0
491;Nikon Coolpix 4500;2272.0
492;Nikon Coolpix 4600;2288.0
493;Nikon Coolpix 4800;2288.0
494;Nikon Coolpix 5000;2560.0
495;Nikon Coolpix 5200;2592.0
496;Nikon Coolpix 5400;2592.0
497;Nikon Coolpix 5600;2592.0
498;Nikon Coolpix 5700;2560.0
499;Nikon Coolpix 5900;2592.0
500;Nikon Coolpix 600;1024.0
501;Nikon Coolpix 700;1600.0
502;Nikon Coolpix 7600;3072.0
