indx,City,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
0,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19840,Pro,2014,17700.0,True
1,Massy,14697,48.730756,2.27137,Renault captur dci / gtie 1 an voire 2 ans P&M,91300,[],15200,Pro,2013,18300.0,False
2,Massy,13799,48.730756,2.27137,RENAULT Captur dci / gtie 1 an voire 2 ans p&m,91300,[],14500,Pro,2013,18300.0,False
3,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
4,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
5,Thiais,10,48.760344,2.387405,Renault Captur Intens TCe 90,94320,0175834788,17560,Pro,2014,15500.0,True
6,Athis-Mons,16000,48.7092979,2.38479,Renault captur,91200,[],11990,Pro,2013,16100.0,False
7,Paris,21754,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75010,0825809109,14500,Pro,2014,16100.0,False
8,Paris,15269,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0825809109,14800,Pro,2014,16100.0,False
9,Orly,14697,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
10,Paris,28670,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0825809109,14200,Pro,2014,16100.0,False
11,Chessy,17370,48.8784616,2.7657959,Renault Captur dCi 90 Energy Business S&S eco²,77700,0825809109,14800,Pro,2014,16100.0,False
12,Malakoff,20026,48.817275,2.2977599,Renault Captur dCi 90 Energy Business S&S eco²,92240,0781679569,14500,Pro,2014,16100.0,False
13,Nanterre,26412,48.892423,2.215331,Renault Captur dCi 90 Energy Business S&S eco²,92000,0825809109,13600,Pro,2013,16100.0,False
14,Montigny-le-Bretonneux,15069,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
15,Roissy-en-France,19247,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14800,Pro,2014,16100.0,False
16,Orly,11688,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14700,Pro,2014,16100.0,False
17,Pontoise,20800,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14500,Pro,2014,16100.0,False
18,Roissy-en-France,28282,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14200,Pro,2014,16100.0,False
19,Montigny-le-Bretonneux,12561,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14000,Pro,2013,16100.0,False
20,Le Blanc-Mesnil,19211,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0825809109,14800,Pro,2014,16100.0,False
21,Le Blanc-Mesnil,29060,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0155811021,14400,Pro,2014,16100.0,False
22,Pontoise,15892,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14800,Pro,2014,16100.0,False
23,Orly,23398,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,13900,Pro,2013,16100.0,False
24,Paris,14571,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75010,0825809109,14800,Pro,2014,16100.0,False
25,Montigny-le-Bretonneux,15607,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
26,Orly,19172,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
27,Roissy-en-France,16521,49.00363,2.516978,Renault Captur dCi 90 Energy Business S&S eco²,95700,0825809109,14800,Pro,2014,16100.0,False
28,Clichy,24018,48.904526,2.304768,Renault Captur dCi 90 Energy Business S&S eco²,92110,0825809109,14500,Pro,2014,16100.0,False
29,Colombes,23289,48.9220615,2.2533313,Renault Captur dCi 90 Energy Business S&S eco²,92700,0825809109,13900,Pro,2013,16100.0,False
30,Paris,14000,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75008,0825809109,14800,Pro,2014,16100.0,False
31,Montigny-le-Bretonneux,29246,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14200,Pro,2014,16100.0,False
32,Clichy,20966,48.904526,2.304768,Renault Captur dCi 90 Energy Business S&S eco²,92110,0825809109,14500,Pro,2014,16100.0,False
33,Thiais,10,48.760344,2.387405,Renault Captur Helly Hansen dCi 90,94320,0175834788,19900,Pro,2014,18300.0,True
34,Orly,16351,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
35,Orly,13461,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
36,Thiais,10,48.760344,2.387405,Renault Captur Zen dCi 90 EDC+ Stock Paris-Orly,94320,0175834788,18789,Pro,2014,16000.0,True
37,Montigny-le-Bretonneux,18108,48.7738734,2.0360157,Renault Captur dCi 90 Energy Business S&S eco²,78180,0825809109,14800,Pro,2014,16100.0,False
38,Le Blanc-Mesnil,16596,48.941345,2.46436,Renault Captur dCi 90 Energy Business S&S eco²,93150,0155811021,15000,Pro,2014,16100.0,False
39,Bobigny,29000,48.908612,2.439712,Renault Captur dCi 90 Energy Business S&S eco²,93000,0825809109,13600,Pro,2013,16100.0,False
40,Pontoise,12409,49.050966,2.100645,Renault Captur dCi 90 Energy Business S&S eco²,95000,0825809109,14800,Pro,2014,16100.0,False
41,Ivry-sur-Seine,19707,48.813055,2.38822,Renault Captur dCi 90 Energy Business S&S eco²,94200,0825809109,14800,Pro,2014,16100.0,False
42,Orly,12870,48.745193,2.401373,Renault Captur dCi 90 Energy Business S&S eco²,94310,0825809109,14800,Pro,2014,16100.0,False
43,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
44,Saint-Rémy-lès-Chevreuse,8900,48.7025751,2.0696133,RENAULT CAPTUR Intens Energy dCi 90 S&S camera,78470,[],17990,Par,2014,17700.0,True
45,Valenton,10,48.749736,2.459965,Renault Captur DCI 90 ENERGY INTENS S&S,94460,0176471772,18990,Pro,2014,17700.0,True
46,Paris,1,48.856614,2.3522219,Renault Captur DCI90 ENER. S/S SL H.H 0KM,75002,0476523234,19990,Pro,-1,16100.0,True
47,Levallois-Perret,16500,48.893217,2.287864,Renault Captur,92300,[],14000,Par,2013,16100.0,False
48,Versailles,4000,48.801408,2.130122,Captur Zen avec GPS,78000,[],15500,Par,2014,14200.0,True
49,Vitry-sur-Seine,20992,48.792001,2.39851,Renault Captur TCe 120 Intens EDC,94400,0811708090,16590,Pro,2013,17800.0,False
50,Mantes-la-Jolie,5000,48.989323,1.714958,Renault Captur 1.5 DCI,78200,[],18900,Par,2014,18300.0,True
51,Dourdan,10,48.529171,2.0152549,RENAULT CAPTUR INTENS EDC 120 + caméra de recul,91410,[],20500,Pro,2014,17800.0,True
52,Dourdan,4058,48.529171,2.0152549,RENAULT CAPTUR INTENS DCI 90 avec caméra de recul,91410,[],18990,Pro,2014,17700.0,True
53,Guyancourt,1800,48.762895,2.075323,Renault CAPTUR Intens dCi 90 cv Orange/Ivoire 2014,78280,[],20300,Par,2014,17700.0,True
54,Maurepas,10,48.7623589,1.945326,Renault captur dci 90 intens camera stock,78310,[],18490,Pro,2014,17700.0,True
55,Maurepas,10,48.7623589,1.945326,Renault captur tce 90 intens garantie 4 ans stock,78310,[],17490,Pro,2014,15500.0,True
56,Vitry-sur-Seine,7933,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
57,Saclay,5950,48.73668,2.180034,Renault captur,91400,[],17900,Par,2014,16100.0,True
58,Joinville-le-Pont,21883,48.821267,2.472043,Renault Captur TCE 90 INTENS,94340,0142836847,15900,Pro,2014,15500.0,True
59,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
60,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
61,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19210,Pro,2014,17800.0,True
62,Isles-lès-Villenoy,4000,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,18870,Pro,2014,17800.0,True
63,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
64,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
65,Chelles,15000,48.877535,2.59016,Renault Captur dCi 90 Intens EDC,77500,0677372750,20300,Pro,2014,17500.0,True
66,Chelles,9900,48.877535,2.59016,Renault Captur dCi 90 Energy Intens S&S eco2,77500,0677372750,19600,Pro,2014,17700.0,True
67,Chelles,15000,48.877535,2.59016,Renault Captur dCi 90 Energy Zen S&S eco2,77500,0677372750,17800,Pro,2014,16000.0,True
68,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
69,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19440,Pro,2014,17800.0,True
70,Gentilly,7400,48.8138999,2.344688,Renault Captur 1.2 TCe 120 Intens EDC R,94250,[],17400,Pro,2013,17800.0,False
71,Chelles,7742,48.877535,2.59016,Renault Captur TCe 120 Intens EDC,77500,0677372750,18900,Pro,2014,17800.0,True
72,Chelles,6999,48.877535,2.59016,Renault Captur dCi 90 Energy S&S eco2 Intens,77500,0677372750,18900,Pro,2014,17700.0,True
73,Saint-Jean-les-Deux-Jumeaux,100,48.9514039,3.018301,Renault Captur DCI 90 NEUF,77660,[],16390,Pro,2014,18300.0,False
74,Saint-Jean-les-Deux-Jumeaux,24200,48.9514039,3.018301,Renault Captur Business DCI 90,77660,[],16980,Pro,2013,17600.0,False
75,Corbeil-Essonnes,14900,48.6102599,2.474805,Renault captur DCI 90 cv intens eco2 noir gps,91100,[],15900,Pro,2013,17700.0,False
76,Etampes,9000,48.434416,2.16142,Renault Captur INTENSE DCI 90CV,91150,[],16990,Pro,2013,18300.0,False
77,Chatou,10,48.896391,2.160098,Renault Captur TCe 90 Energy S&S eco2 Zen,78400,0130157765,17300,Pro,2014,14200.0,True
78,Brétigny-sur-Orge,20500,48.611486,2.30604,Renault captur 1.5 dci 90 zen eco2,91220,[],16300,Par,2013,16000.0,True
79,Samoreau,3098,48.423454,2.754079,Renault Captur dCi 90 Energy Zen S&S eco2,77210,0164239675,17700,Pro,2014,16000.0,True
80,Montrouge,18932,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS EDC,92120,0142531111,17880,Pro,2014,17600.0,True
81,Paris,17670,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,15990,Pro,2014,16100.0,False
82,Boulogne-Billancourt,22880,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY BUSINESS,92100,0174037256,16790,Pro,2014,16100.0,True
83,Thiais,10,48.760344,2.387405,Renault Captur TCE 120 INTENS EDC,94320,0141734040,19372,Pro,2014,17800.0,True
84,Paris,10,48.856614,2.3522219,Renault Captur TCE 90 ENERGY LIFE S&S ECO²,75116,0140709104,14800,Pro,2014,12700.0,True
85,Coulommiers,24500,48.813071,3.083497,Renault captur intens tce 120 eds,77120,[],16300,Pro,2013,17800.0,False
86,Levallois-Perret,11,48.893217,2.287864,Renault captur 1.5 dci 90 intens edc neuve,92300,[],20500,Pro,2014,17500.0,True
87,Paris,5576,48.856614,2.3522219,Renault Captur TCe 90 Energy Intens S&S eco²,75012,0144740871,16500,Pro,2014,15500.0,True
88,Bois-Colombes,12150,48.917402,2.269675,Renault captur 1.5 dci 90 energy s&s intens eco2,92270,[],15999,Pro,2013,17700.0,False
89,Bois-d'Arcy,6700,48.80598,2.022188,RENAULT CAPTUR ZEN IVOIRE TOIT NOIR TCE 90 eco2,78390,[],15790,Par,2014,14200.0,True
90,Conflans-Sainte-Honorine,7600,49.000275,2.09178,Renault captur,78700,[],18400,Par,2014,16100.0,True
91,Limay,3000,48.992181,1.735384,RENAULT Captur zen 90 tce,78520,[],15300,Par,2014,14200.0,True
92,Orgeval,21780,48.918524,1.96978,Renault Captur dCi 90 Energy S&S eco2 Intens,78630,0139754280,17480,Pro,2014,17700.0,False
93,Isles-lès-Villenoy,7000,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch ZEN M/5,77450,0184141900,16970,Pro,2014,16000.0,True
94,Isles-lès-Villenoy,1000,48.911358,2.8281139,Renault Captur 0.9 TCe Energy 90ch INTENS M/5,77450,0184141900,17240,Pro,2014,15500.0,True
95,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
96,Ballancourt-sur-Essonne,5000,48.524552,2.388169,Renault Captur Intens dCi 90,91610,[],18800,Par,2014,17700.0,True
97,Boulogne-Billancourt,8949,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17490,Pro,2014,16000.0,True
98,Brie-Comte-Robert,6105,48.6912267,2.6103697,Renault Captur TCe 90 Energy Zen S&S eco2,77170,0160625056,14390,Pro,2013,14200.0,True
99,Boulogne-Billancourt,3631,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17990,Pro,2014,16000.0,True
100,Pontoise,9000,49.050966,2.100645,Renault Captur Intens Energy DCi 90 ivoire /noire,95000,[],18500,Par,2014,17700.0,True
101,Neauphle-le-Vieux,4500,48.814745,1.863168,RENAULT CAPTUR INTENS Energy dCi90 Gris & Orange,78640,[],17600,Par,2014,15500.0,True
102,Maurepas,5,48.7623589,1.945326,Renault captur dci 90 EDC intens neuf,78310,[],19890,Pro,2014,17500.0,True
103,Les Pavillons-sous-Bois,9500,48.90852,2.504403,Renault Captur dCi 90 Energy Zen S&S eco²,93320,0667277157,17880,Pro,2014,16000.0,True
104,Noisiel,1519,48.85478,2.628701,Renault Captur,77186,0160059293,17900,Pro,2014,16100.0,True
105,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
106,Argenteuil,2874,48.9472096,2.2466847,Renault Captur dCi 90 Energy Zen S&S eco²,95100,0178769520,18990,Pro,2014,16000.0,True
107,Noisiel,1,48.85478,2.628701,Renault Captur dCi 90 Energy S&S eco2 Zen 5P,77186,0160059293,18900,Pro,2014,16000.0,True
108,Paris,16728,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,15990,Pro,2014,16100.0,False
109,Melun,6234,48.542105,2.6554,Renault Captur TCe 90 Energy S&S eco2 Intens,77000,0615872883,15980,Pro,2014,15500.0,True
110,Paris,3365,48.856614,2.3522219,Renault Captur DCI 90 ENERGY ZEN S&S ECO²,75006,0146348425,17900,Pro,2013,16000.0,True
111,Conflans-Sainte-Honorine,11963,49.000275,2.09178,Renault Captur dCi 90 Energy S&S eco2 Zen,78700,0139192136,16900,Pro,2014,16000.0,True
112,Boulogne-Billancourt,5396,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 INTENS,92100,0174037256,18390,Pro,2014,17700.0,True
113,Sartrouville,2,48.941106,2.158431,Renault Captur,78500,0139145454,19380,Pro,2014,16100.0,True
114,Paris,16436,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,16490,Pro,2013,16100.0,True
115,Brie-Comte-Robert,624,48.6912267,2.6103697,Renault Captur dCi 90 Energy S&S eco2 Intens,77170,0160625056,18490,Pro,2014,17700.0,True
116,Paris,7987,48.856614,2.3522219,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,75008,0178455073,17990,Pro,2014,16000.0,True
117,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
118,Coignières,60,48.750285,1.916261,Renault Captur dCi 90 Energy Intens S&S eco²,78310,0130502424,19990,Pro,2014,17700.0,True
119,Aulnay-sous-Bois,10300,48.9412151,2.4970711,Renault captur 1.5 dci 90 ch intens bv auto edc,93600,[],18990,Pro,2014,17500.0,True
120,Paris,3900,48.856614,2.3522219,Renault captur serie limitée arizona juin 2014 dci,75001,[],19290,Par,2014,18300.0,True
121,Montrouge,3690,48.816363,2.317384,Renault Captur TCe 120 Zen EDC,92120,0146128847,18290,Pro,2014,16000.0,True
122,Limay,9500,48.992181,1.735384,Renault CAPTUR TCe 120 Intens EDC,78520,[],19190,Pro,2014,17800.0,True
123,Savigny-sur-Orge,4000,48.6851259,2.349282,Captur Intens 120 EDC,91600,[],19000,Par,2014,17800.0,True
124,Sartrouville,17280,48.941106,2.158431,Renault Captur,78500,0139145454,15880,Pro,2013,16100.0,False
125,Noisiel,1,48.85478,2.628701,Renault Captur dCi 90 Intens EDC 5P,77186,0160059293,20900,Pro,2014,17500.0,True
126,Villeneuve-Saint-Georges,3500,48.7305769,2.447488,RENAULT CAPTUR INTENS ENERGY DCi 90 Options,94190,0143828979,18900,Par,2014,17700.0,True
127,Pantin,15898,48.894533,2.40963,Renault Captur DCI 90 ENERGY BUSINESS,93500,0174730257,16990,Pro,2013,16100.0,True
128,Pontoise,19700,49.050966,2.100645,Renault Captur dCi 90 Energy Zen S&S eco²,95300,0624782138,16990,Pro,2014,16000.0,True
129,Brie-Comte-Robert,10,48.6912267,2.6103697,Renault Captur TCe 90 Energy S&S eco2 Zen,77170,0160625056,16890,Pro,2014,14200.0,True
130,Thiais,7,48.760344,2.387405,Renault Captur DCI 90 ZEN EDC ECO²,94320,0141734040,18990,Pro,2014,16200.0,True
131,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
132,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
133,Montrouge,9367,48.816363,2.317384,Renault Captur dCi 90 Energy S&S eco2 Intens,92120,0146128847,18290,Pro,2014,17700.0,True
134,Thoiry,3500,48.865263,1.794903,Voiture SUV RENAULT Captur Intens 120 EDC,78770,[],18500,Par,2014,17800.0,True
135,Créteil,25295,48.790367,2.455572,Renault Captur dCi 90 Energy Zen S&S eco²,94000,0811708090,14980,Pro,2013,16000.0,False
136,Sartrouville,2,48.941106,2.158431,Renault Captur 1.5 DCI 90 INTENS EDC,78500,0139145454,19870,Pro,2014,17500.0,True
137,Noisiel,14958,48.85478,2.628701,Renault Captur TCe 90 Energy S&S eco2 Life 5P,77186,0160059293,14900,Pro,2013,12700.0,True
138,Paris,50,48.856614,2.3522219,Renault Captur DCI 90 INTENS EDC,75011,0174076006,20490,Pro,2014,17500.0,True
139,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
140,Les Ulis,2410,48.6792779,2.16647,Renault Captur dCi 90 Energy Intens S&S eco2,91940,0160926972,19490,Pro,2014,17700.0,True
141,Fresnes,7,48.757205,2.326243,Renault Captur TCE 90 ENERGY S&S ECO2 INTENS,94260,0175448164,17550,Pro,2014,15500.0,True
142,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
143,Mareil-Marly,10,48.882174,2.076817,Renault Captur dCi 90 Energy Intens S&S eco²,78750,0628537072,19990,Pro,2014,17700.0,True
