,Ville,CodeZIP,Latitude,Longitude,Type,Tel,Modele,Annee,Prix,Km,Argus
0,Maraussan,34370,43.3940241,3.0876783,professionnel,0467379041,intens,2014,17980.0,2.0,Sup_Argus
1,Portiragnes,34420,43.3101328,3.3288183,professionnel,0825809109,business,2014,14800.0,16126.0,Inf_Argus
2,Portiragnes,34420,43.3101328,3.3288183,professionnel,0825809109,business,2014,14800.0,18434.0,Inf_Argus
3,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,business,2014,16900.0,26248.0,Sup_Argus
4,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,business,2013,17700.0,21845.0,Sup_Argus
5,Vic-la-Gardiole,34110,43.4697434,3.7739869,professionnel,,intens,2014,18980.0,2700.0,Sup_Argus
6,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,business,2014,17990.0,9395.0,Sup_Argus
7,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,intens,2013,17600.0,9171.0,Sup_Argus
8,Alès,30100,44.127838,4.0797673,professionnel,0466562200,intens,2014,17490.0,19406.0,Sup_Argus
9,Villeneuve-lès-Béziers,34420,43.3101328,3.3288183,professionnel,0467313233,intens,2014,19580.0,10.0,Sup_Argus
10,Florensac,34510,43.3830889,3.4700327,professionnel,,intens,2014,18850.0,10.0,Sup_Argus
11,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2985956897,zen,2014,15970.0,10.0,Sup_Argus
12,Juvignac,34990,43.6273236,3.7993992,professionnel,,life,2013,13990.0,22000.0,Sup_Argus
13,Saint-Geniès-de-Malgoirès,30190,43.958443,4.2948884,professionnel,,zen,2013,16990.0,13800.0,Sup_Argus
14,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2985556811,zen,2014,17270.0,10.0,Sup_Argus
15,Alès,30100,44.127838,4.0797673,professionnel,0466562200,business,2013,17490.0,20342.0,Sup_Argus
16,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2985857051,zen,2014,15970.0,10.0,Sup_Argus
17,Saint-Chély-d'Apcher,48200,44.8223335,3.2784825,professionnel,,intens,2014,19700.0,10.0,Sup_Argus
18,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070231,business,2013,15889.0,30851.0,Inf_Argus
19,Narbonne,11100,43.1549417,2.9975593,professionnel,0428070276,business,Diesel,15900.0,0.0,Inf_Argus
20,Maraussan,34370,43.3940241,3.0876783,professionnel,,,2014,16500.0,10.0,
21,Quissac,30260,43.8926394,4.0082563,professionnel,,business,2013,15890.0,12083.0,Inf_Argus
22,Carcassonne,11000,43.2183848,2.3517526,professionnel,0468111800,intens,2014,19480.0,10.0,Sup_Argus
23,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,zen,2014,17500.0,15555.0,Sup_Argus
24,Sète,34200,43.3979814,3.6116494,professionnel,,intens,2014,19300.0,80.0,Sup_Argus
25,Bernis,30620,43.7585513,4.2846246,professionnel,0698340203,zen,2013,14970.0,15000.0,Inf_Argus
26,Lattes,34970,43.5617292,3.8960811,professionnel,,intens,2014,19870.0,10.0,Sup_Argus
27,Saint-Chély-d'Apcher,48200,44.8223335,3.2784825,professionnel,,intens,2014,19500.0,10.0,Sup_Argus
28,Alès,30100,44.127838,4.0797673,professionnel,0466528547,intens,2013,17990.0,10054.0,Sup_Argus
29,Montpellier,34090,43.6348676,3.8604402,professionnel,0467407040,intens,2013,16990.0,18106.0,Sup_Argus
30,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,business,2014,16900.0,26442.0,Sup_Argus
31,Le Boulou,66160,42.5259878,2.8277963,professionnel,2404810268,intens,2014,18990.0,10.0,Sup_Argus
32,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,intens,2014,20900.0,10.0,Sup_Argus
33,Mauguio,34130,43.6235613,4.0491077,professionnel,0825809109,business,2014,14800.0,13786.0,Inf_Argus
34,Saint-Jean-de-Védas,34430,43.5687592,3.8299106,professionnel,1120412963,zen,2013,17990.0,6700.0,Sup_Argus
35,Sommières,30250,43.8134296,4.0899911,professionnel,0466803587,intens,2014,19980.0,60.0,Sup_Argus
36,Montpellier,34090,43.6348676,3.8604402,professionnel,0467407040,business,2013,15500.0,42151.0,Inf_Argus
37,Montpellier,34070,43.5968596,3.8502617,professionnel,0825809109,business,2014,14800.0,17849.0,Inf_Argus
38,Frontignan,34110,43.4697434,3.7739869,professionnel,0467487556,intens,2014,21890.0,10.0,Sup_Argus
39,Sommières,30250,43.8134296,4.0899911,professionnel,0466803587,business,Diesel,17480.0,0.0,Sup_Argus
40,Montpellier,34000,43.6047275,3.9011747,professionnel,0652955090,zen,2013,17490.0,6700.0,Sup_Argus
41,Carcassonne,11000,43.2183848,2.3517526,professionnel,0428070216,intens,2014,19860.0,10.0,Sup_Argus
42,Alès,30100,44.127838,4.0797673,professionnel,0428070411,intens,2013,17990.0,18348.0,Sup_Argus
43,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2986156996,,2014,19390.0,10.0,
44,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,business,2013,16400.0,18492.0,Inf_Argus
45,Carcassonne,11000,43.2183848,2.3517526,professionnel,0428070206,intens,2014,19860.0,10.0,Sup_Argus
46,Alès,30100,44.127838,4.0797673,professionnel,0466562200,intens,2014,17490.0,16049.0,Sup_Argus
47,Castelnau-le-Lez,34170,43.6377577,3.9164585,professionnel,1120732225,intens,2013,18690.0,14500.0,Sup_Argus
48,Bernis,30620,43.7585513,4.2846246,professionnel,0698290203,intens,2014,18470.0,10.0,Sup_Argus
49,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,zen,2014,17900.0,3896.0,Sup_Argus
50,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,business,2013,16900.0,32611.0,Sup_Argus
51,Pollestres,66450,42.637482,2.8726747,professionnel,0468363731,intens,2014,18990.0,10.0,Sup_Argus
52,Nîmes,30000,43.8791313,4.3770704,professionnel,0484240006,zen,2014,15990.0,5208.0,Sup_Argus
53,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2973355412,intens,2014,17970.0,10.0,Sup_Argus
54,Carcassonne,11000,43.2183848,2.3517526,professionnel,0825809109,business,2014,14800.0,17166.0,Inf_Argus
55,Montpellier,34000,43.6047275,3.9011747,professionnel,0486877974,business,2013,15500.0,42151.0,Inf_Argus
56,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,2985656898,zen,2014,17270.0,10.0,Sup_Argus
57,Béziers,34500,43.3416692,3.238251,professionnel,,intens,2014,20390.0,10.0,Sup_Argus
58,Saint-André-de-Sangonis,34725,43.6713124,3.4700327,professionnel,0675649713,business,2013,15970.0,21413.0,Inf_Argus
59,Trèbes,11800,43.2060063,2.4801989,professionnel,0468786576,intens,2014,18990.0,15.0,Sup_Argus
60,Alès,30100,44.127838,4.0797673,professionnel,0466562820,zen,2014,16990.0,16755.0,Sup_Argus
61,Perpignan,66000,42.7201813,2.8876436,professionnel,0621482817,business,2014,14800.0,15113.0,Inf_Argus
62,Sommières,30250,43.8134296,4.0899911,professionnel,0466803587,zen,2013,15980.0,30000.0,Sup_Argus
63,Cabestany,66330,42.6748234,2.9425698,professionnel,0603965950,intens,2014,18200.0,150.0,Sup_Argus
64,Nîmes,30900,43.8333998,4.3256918,professionnel,0466290677,intens,2013,16490.0,66815.0,Sup_Argus
65,Montpellier,34000,43.6047275,3.9011747,professionnel,0486877974,intens,2013,16990.0,18106.0,Sup_Argus
66,Le Boulou,66160,42.5259878,2.8277963,professionnel,2660015142,intens,2014,18490.0,10.0,Sup_Argus
67,Béziers,34500,43.3416692,3.238251,professionnel,,intens,2014,21390.0,10.0,Sup_Argus
68,Bernis,30620,43.7585513,4.2846246,professionnel,0466513312,zen,2013,13990.0,26463.0,Inf_Argus
69,Saint-Geniès-de-Malgoirès,30190,43.958443,4.2948884,professionnel,,intens,2014,18700.0,8098.0,Sup_Argus
70,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,intens,2014,17900.0,20389.0,Sup_Argus
71,Alès,30100,44.127838,4.0797673,professionnel,0466562200,zen,2013,15890.0,6902.0,Sup_Argus
72,Perpignan,66000,42.7201813,2.8876436,professionnel,0428070236,business,2013,17500.0,22370.0,Sup_Argus
73,Béziers,34500,43.3416692,3.238251,professionnel,,,2014,20490.0,10.0,
74,Alès,30100,44.127838,4.0797673,professionnel,0466562200,zen,2014,15990.0,8000.0,Sup_Argus
75,Alès,30100,44.127838,4.0797673,professionnel,0466562200,intens,2014,19790.0,10.0,Sup_Argus
76,Alès,30100,44.127838,4.0797673,particulier,0782681592,intens,2013,17900.0,1000.0,Sup_Argus
77,Salles-d'Aude,11110,43.2202811,3.0876783,particulier,,intens,Diesel,16000.0,0.0,Sup_Argus
78,Toulouges,66350,42.6680537,2.8228124,particulier,,zen,2013,13500.0,16000.0,Inf_Argus
79,Saint-Hilaire-de-Brethmas,30560,44.0884153,4.1206748,particulier,,,2014,17000.0,9000.0,
80,Meynes,30840,43.8768629,4.5572847,particulier,,business,2013,17000.0,31000.0,Sup_Argus
81,Montagnac,34530,43.478119,3.5104537,particulier,,intens,2013,17500.0,17984.0,Sup_Argus
82,Sète,34200,43.3979814,3.6116494,particulier,,life,2013,17000.0,6000.0,Sup_Argus
83,Perpignan,66000,42.7201813,2.8876436,particulier,,intens,2013,17000.0,29000.0,Sup_Argus
84,Valras-Plage,34350,43.2550735,3.2281983,particulier,,intens,2014,16900.0,18500.0,Sup_Argus
85,Mende,48000,44.5149147,3.5205641,particulier,,intens,Diesel,18900.0,0.0,Sup_Argus
86,Aubord,30620,43.7585513,4.2846246,particulier,,,Diesel,15500.0,0.0,
87,Saint-Laurent-de-Carnols,30200,44.1734755,4.6243751,particulier,,intens,2014,16200.0,3500.0,Sup_Argus
88,Bellegarde,30127,43.7598202,4.5005808,particulier,,intens,2013,15500.0,32500.0,Sup_Argus
89,Sauvian,34410,43.2726783,3.2885455,particulier,,zen,2013,15900.0,7700.0,Sup_Argus
90,Le Soler,66270,42.6785593,2.7929203,particulier,,life,2013,15300.0,21000.0,Sup_Argus
91,Narbonne,11100,43.1549417,2.9975593,particulier,,intens,Diesel,16400.0,0.0,Sup_Argus
92,Castelnaudary,11400,43.3501711,2.027319,particulier,,intens,2013,16900.0,35000.0,Sup_Argus
93,Castries,34160,43.739881,4.0082563,particulier,,intens,2014,14900.0,2500.0,Sup_Argus
94,Générac,30510,43.7172054,4.3667907,particulier,,intens,2014,19500.0,5700.0,Sup_Argus
95,Saint-Clément-de-Rivière,34980,43.6801859,3.7943157,particulier,,life,2014,17000.0,15000.0,Sup_Argus
